k_long[1/Mpc]   bias Lagrangian 
8.866209e-03   4.928518e+00 
1.116190e-02   4.928848e+00 
1.116190e-02   4.928848e+00 
1.116190e-02   4.928848e+00 
1.116190e-02   4.928848e+00 
1.405199e-02   4.929577e+00 
1.405199e-02   4.929577e+00 
1.405199e-02   4.929577e+00 
1.405199e-02   4.929577e+00 
1.405199e-02   4.929577e+00 
1.769033e-02   4.929050e+00 
1.769033e-02   4.929050e+00 
1.769033e-02   4.929050e+00 
1.769033e-02   4.929050e+00 
1.769033e-02   4.929050e+00 
2.225937e-02   4.929344e+00 
2.225937e-02   4.929344e+00 
2.225937e-02   4.929344e+00 
2.225937e-02   4.929344e+00 
2.225937e-02   4.929344e+00 
2.765040e-02   4.929117e+00 
2.765040e-02   4.929117e+00 
2.765040e-02   4.929117e+00 
2.765040e-02   4.929117e+00 
3.220914e-02   4.929635e+00 
3.220914e-02   4.929635e+00 
3.220914e-02   4.929635e+00 
3.551287e-02   4.928913e+00 
3.823508e-02   4.929687e+00 
3.823508e-02   4.929687e+00 
4.066459e-02   4.929397e+00 
4.292995e-02   4.929180e+00 
4.509913e-02   4.929247e+00 
4.721285e-02   4.928523e+00 
4.929782e-02   4.929058e+00 
5.137288e-02   4.929805e+00 
5.345206e-02   4.929774e+00 
5.554635e-02   4.929972e+00 
5.981466e-02   4.929510e+00 
6.200282e-02   4.929685e+00 
6.423503e-02   4.929588e+00 
6.885279e-02   4.929425e+00 
7.124807e-02   4.929179e+00 
7.370706e-02   4.929582e+00 
7.883367e-02   4.929668e+00 
8.150980e-02   4.929693e+00 
8.426675e-02   4.929971e+00 
9.003960e-02   4.929900e+00 
9.306376e-02   4.929535e+00 
9.940811e-02   4.929858e+00 
1.027366e-01   4.929143e+00 
1.097267e-01   4.929430e+00 
1.133969e-01   4.929120e+00 
1.171893e-01   4.929190e+00 
1.251584e-01   4.928934e+00 
1.293438e-01   4.929302e+00 
1.381392e-01   4.929309e+00 
1.427588e-01   4.929324e+00 
1.524668e-01   4.929793e+00 
1.575662e-01   4.929518e+00 
1.628370e-01   4.929732e+00 
1.739192e-01   4.929570e+00 
1.797449e-01   4.929789e+00 
1.920073e-01   4.929138e+00 
1.984630e-01   4.929292e+00 
2.051499e-01   4.928949e+00 
2.192691e-01   4.929141e+00 
2.267321e-01   4.929493e+00 
2.425583e-01   4.929075e+00 
2.509677e-01   4.929805e+00 
2.597452e-01   4.929617e+00 
2.785467e-01   4.928904e+00 
2.886594e-01   4.928917e+00 
2.993216e-01   4.928824e+00 
3.225997e-01   4.928852e+00 
3.354189e-01   4.928967e+00 
3.492091e-01   4.928897e+00 
3.641642e-01   4.928939e+00 
3.805469e-01   4.928939e+00 
3.987252e-01   4.928965e+00 
