k_long[1/Mpc]   bias Lagrangian 
8.866209e-03   1.704368e+00 
1.116190e-02   1.704482e+00 
1.116190e-02   1.704482e+00 
1.116190e-02   1.704482e+00 
1.116190e-02   1.704482e+00 
1.405199e-02   1.704394e+00 
1.405199e-02   1.704394e+00 
1.405199e-02   1.704394e+00 
1.405199e-02   1.704394e+00 
1.405199e-02   1.704394e+00 
1.769033e-02   1.704566e+00 
1.769033e-02   1.704566e+00 
1.769033e-02   1.704566e+00 
1.769033e-02   1.704566e+00 
1.769033e-02   1.704566e+00 
2.225937e-02   1.704326e+00 
2.225937e-02   1.704326e+00 
2.225937e-02   1.704326e+00 
2.225937e-02   1.704326e+00 
2.225937e-02   1.704326e+00 
2.765040e-02   1.704589e+00 
2.765040e-02   1.704589e+00 
2.765040e-02   1.704589e+00 
2.765040e-02   1.704589e+00 
3.220914e-02   1.704425e+00 
3.220914e-02   1.704425e+00 
3.220914e-02   1.704425e+00 
3.551287e-02   1.704526e+00 
3.823508e-02   1.704443e+00 
3.823508e-02   1.704443e+00 
4.066459e-02   1.704343e+00 
4.292995e-02   1.704611e+00 
4.509913e-02   1.704291e+00 
4.721285e-02   1.704391e+00 
4.929782e-02   1.704576e+00 
5.137288e-02   1.704834e+00 
5.345206e-02   1.704473e+00 
5.554635e-02   1.704542e+00 
5.981466e-02   1.704732e+00 
6.200282e-02   1.704442e+00 
6.423503e-02   1.704759e+00 
6.885279e-02   1.704703e+00 
7.124807e-02   1.704618e+00 
7.370706e-02   1.704414e+00 
7.883367e-02   1.704444e+00 
8.150980e-02   1.704445e+00 
8.426675e-02   1.704542e+00 
9.003960e-02   1.704517e+00 
9.306376e-02   1.704741e+00 
9.940811e-02   1.704502e+00 
1.027366e-01   1.704605e+00 
1.097267e-01   1.704705e+00 
1.133969e-01   1.704597e+00 
1.171893e-01   1.704622e+00 
1.251584e-01   1.704533e+00 
1.293438e-01   1.704660e+00 
1.381392e-01   1.704663e+00 
1.427588e-01   1.704668e+00 
1.524668e-01   1.704480e+00 
1.575662e-01   1.704384e+00 
1.628370e-01   1.704466e+00 
1.739192e-01   1.704402e+00 
1.797449e-01   1.704478e+00 
1.920073e-01   1.704604e+00 
1.984630e-01   1.704657e+00 
2.051499e-01   1.704538e+00 
2.192691e-01   1.704605e+00 
2.267321e-01   1.704383e+00 
2.425583e-01   1.704582e+00 
2.509677e-01   1.704491e+00 
2.597452e-01   1.704426e+00 
2.785467e-01   1.704523e+00 
2.886594e-01   1.704527e+00 
2.993216e-01   1.704495e+00 
3.225997e-01   1.704505e+00 
3.354189e-01   1.704544e+00 
3.492091e-01   1.704520e+00 
3.641642e-01   1.704535e+00 
3.805469e-01   1.704535e+00 
3.987252e-01   1.704544e+00 
