k_long[1/Mpc]   bias Lagrangian 
8.866209e-03   1.177966e+00 
1.116190e-02   1.178044e+00 
1.116190e-02   1.178044e+00 
1.116190e-02   1.178044e+00 
1.116190e-02   1.178044e+00 
1.405199e-02   1.177982e+00 
1.405199e-02   1.177982e+00 
1.405199e-02   1.177982e+00 
1.405199e-02   1.177982e+00 
1.405199e-02   1.177982e+00 
1.769033e-02   1.178101e+00 
1.769033e-02   1.178101e+00 
1.769033e-02   1.178101e+00 
1.769033e-02   1.178101e+00 
1.769033e-02   1.178101e+00 
2.225937e-02   1.178171e+00 
2.225937e-02   1.178171e+00 
2.225937e-02   1.178171e+00 
2.225937e-02   1.178171e+00 
2.225937e-02   1.178171e+00 
2.765040e-02   1.178116e+00 
2.765040e-02   1.178116e+00 
2.765040e-02   1.178116e+00 
2.765040e-02   1.178116e+00 
3.220914e-02   1.178003e+00 
3.220914e-02   1.178003e+00 
3.220914e-02   1.178003e+00 
3.551287e-02   1.178072e+00 
3.823508e-02   1.178015e+00 
3.823508e-02   1.178015e+00 
4.066459e-02   1.178183e+00 
4.292995e-02   1.178131e+00 
4.509913e-02   1.178147e+00 
4.721285e-02   1.177979e+00 
4.929782e-02   1.178107e+00 
5.137288e-02   1.178286e+00 
5.345206e-02   1.178273e+00 
5.554635e-02   1.178325e+00 
5.981466e-02   1.178215e+00 
6.200282e-02   1.178257e+00 
6.423503e-02   1.178233e+00 
6.885279e-02   1.178194e+00 
7.124807e-02   1.178136e+00 
7.370706e-02   1.178232e+00 
7.883367e-02   1.178253e+00 
8.150980e-02   1.178259e+00 
8.426675e-02   1.178083e+00 
9.003960e-02   1.178303e+00 
9.306376e-02   1.178221e+00 
9.940811e-02   1.178056e+00 
1.027366e-01   1.178127e+00 
1.097267e-01   1.178196e+00 
1.133969e-01   1.178121e+00 
1.171893e-01   1.178138e+00 
1.251584e-01   1.178077e+00 
1.293438e-01   1.178165e+00 
1.381392e-01   1.178167e+00 
1.427588e-01   1.178170e+00 
1.524668e-01   1.178040e+00 
1.575662e-01   1.178217e+00 
1.628370e-01   1.178030e+00 
1.739192e-01   1.178229e+00 
1.797449e-01   1.178039e+00 
1.920073e-01   1.178126e+00 
1.984630e-01   1.178163e+00 
2.051499e-01   1.178081e+00 
2.192691e-01   1.178127e+00 
2.267321e-01   1.178211e+00 
2.425583e-01   1.178111e+00 
2.509677e-01   1.178048e+00 
2.597452e-01   1.178240e+00 
2.785467e-01   1.178070e+00 
2.886594e-01   1.178073e+00 
2.993216e-01   1.178051e+00 
3.225997e-01   1.178057e+00 
3.354189e-01   1.178085e+00 
3.492091e-01   1.178068e+00 
3.641642e-01   1.178078e+00 
3.805469e-01   1.178078e+00 
3.987252e-01   1.178084e+00 
